platform,date,impressions,reach,engagements,clicks,shares,comments,likes,video_views,ctr,engagement_rate,spend,cpm,cpc,campaign_name
Facebook,2025-04-01,125000,89000,4560,1234,234,456,3870,45000,0.99,3.65,2500.00,20.00,2.03,Spring Launch
Facebook,2025-04-02,134000,95000,5120,1456,267,512,4341,52000,1.09,3.82,2750.00,20.52,1.89,Spring Launch
Facebook,2025-04-03,156000,112000,6234,1789,312,589,5333,68000,1.15,4.00,3200.00,20.51,1.79,Spring Launch
Facebook,2025-04-04,148000,105000,5890,1654,289,534,5067,61000,1.12,3.98,3000.00,20.27,1.81,Spring Launch
Facebook,2025-04-05,98000,72000,3560,987,178,356,3026,38000,1.01,3.63,1800.00,18.37,1.82,Spring Launch
Facebook,2025-04-06,89000,65000,3120,876,156,312,2652,34000,0.98,3.51,1600.00,17.98,1.83,Spring Launch
Facebook,2025-04-07,167000,120000,6780,1923,345,623,5812,75000,1.15,4.06,3400.00,20.36,1.77,Spring Launch
Facebook,2025-04-08,178000,128000,7234,2056,378,667,6189,82000,1.16,4.07,3600.00,20.22,1.75,Spring Launch
Facebook,2025-04-09,145000,103000,5670,1567,278,512,4880,58000,1.08,3.91,2900.00,20.00,1.85,Spring Launch
Facebook,2025-04-10,138000,98000,5340,1489,256,489,4595,54000,1.08,3.87,2800.00,20.29,1.88,Spring Launch
Facebook,2025-04-11,142000,101000,5520,1534,267,502,4751,56000,1.08,3.89,2850.00,20.07,1.86,Spring Launch
Facebook,2025-04-12,95000,70000,3450,956,167,345,2938,37000,1.01,3.63,1750.00,18.42,1.83,Spring Launch
Facebook,2025-04-13,87000,64000,3120,867,152,312,2656,33000,1.00,3.59,1550.00,17.82,1.79,Spring Launch
Facebook,2025-04-14,158000,113000,6340,1789,312,578,5450,69000,1.13,4.01,3250.00,20.57,1.82,Spring Launch
Facebook,2025-04-15,165000,118000,6670,1876,334,612,5724,73000,1.14,4.04,3350.00,20.30,1.79,Spring Launch
Instagram,2025-04-01,89000,67000,5670,789,456,678,4536,34000,0.89,6.37,1800.00,20.22,2.28,Spring Launch
Instagram,2025-04-02,98000,74000,6340,876,512,756,5072,39000,0.89,6.47,2000.00,20.41,2.28,Spring Launch
Instagram,2025-04-03,112000,85000,7450,1023,589,867,5994,46000,0.91,6.65,2300.00,20.54,2.25,Spring Launch
Instagram,2025-04-04,105000,79000,6890,945,545,801,5544,42000,0.90,6.56,2150.00,20.48,2.28,Spring Launch
Instagram,2025-04-05,72000,54000,4560,623,367,534,3659,28000,0.87,6.33,1400.00,19.44,2.25,Spring Launch
Instagram,2025-04-06,65000,49000,4120,567,334,489,3297,25000,0.87,6.34,1250.00,19.23,2.20,Spring Launch
Instagram,2025-04-07,125000,95000,8230,1123,656,934,6640,52000,0.90,6.58,2550.00,20.40,2.27,Spring Launch
Instagram,2025-04-08,134000,102000,8890,1212,712,1012,7166,57000,0.90,6.63,2750.00,20.52,2.27,Spring Launch
Instagram,2025-04-09,108000,82000,7120,978,567,812,5743,44000,0.91,6.59,2200.00,20.37,2.25,Spring Launch
Instagram,2025-04-10,102000,77000,6780,934,534,778,5468,41000,0.92,6.65,2100.00,20.59,2.25,Spring Launch
LinkedIn,2025-04-01,45000,38000,1890,534,89,234,1567,0,1.19,4.20,1500.00,33.33,2.81,Spring Launch
LinkedIn,2025-04-02,52000,44000,2230,612,102,278,1850,0,1.18,4.29,1750.00,33.65,2.86,Spring Launch
LinkedIn,2025-04-03,61000,52000,2670,723,121,334,2215,0,1.19,4.38,2050.00,33.61,2.84,Spring Launch
LinkedIn,2025-04-04,58000,49000,2480,678,112,312,2056,0,1.17,4.28,1950.00,33.62,2.88,Spring Launch
LinkedIn,2025-04-05,34000,29000,1420,389,67,178,1175,0,1.14,4.18,1100.00,32.35,2.83,Spring Launch
LinkedIn,2025-04-06,31000,26000,1280,352,59,162,1059,0,1.14,4.13,1000.00,32.26,2.84,Spring Launch
LinkedIn,2025-04-07,67000,57000,2890,789,134,367,2389,0,1.18,4.31,2250.00,33.58,2.85,Spring Launch
LinkedIn,2025-04-08,72000,61000,3120,856,145,398,2577,0,1.19,4.33,2400.00,33.33,2.80,Spring Launch
LinkedIn,2025-04-09,59000,50000,2560,702,118,323,2119,0,1.19,4.34,1980.00,33.56,2.82,Spring Launch
LinkedIn,2025-04-10,55000,47000,2380,652,109,301,1970,0,1.19,4.33,1850.00,33.64,2.84,Spring Launch
Twitter,2025-04-01,234000,0,8760,2340,1234,567,6959,0,1.00,3.74,800.00,3.42,0.34,Spring Launch
Twitter,2025-04-02,267000,0,10120,2678,1412,645,8063,0,1.00,3.79,920.00,3.45,0.34,Spring Launch
Twitter,2025-04-03,312000,0,12340,3123,1678,789,9873,0,1.00,3.96,1100.00,3.53,0.35,Spring Launch
Twitter,2025-04-04,289000,0,11230,2890,1545,723,8962,0,1.00,3.89,1020.00,3.53,0.35,Spring Launch
Twitter,2025-04-05,178000,0,6560,1756,923,412,5425,0,0.99,3.69,620.00,3.48,0.35,Spring Launch
Twitter,2025-04-06,156000,0,5670,1523,801,356,4513,0,0.98,3.63,540.00,3.46,0.35,Spring Launch
Twitter,2025-04-07,345000,0,13560,3456,1823,867,10870,0,1.00,3.93,1200.00,3.48,0.35,Spring Launch
Twitter,2025-04-08,367000,0,14560,3712,1945,923,11692,0,1.01,3.97,1280.00,3.49,0.34,Spring Launch
