response_id,date,department,tenure_months,overall_rating,content_rating,length_rating,comments
R001,2025-03-15,Engineering,1,3,2,4,"Benefits section was confusing - had to ask HR to clarify HSA vs FSA"
R002,2025-03-18,Marketing,1,4,3,3,"Good overview but org chart was wrong - showed people who left months ago"
R003,2025-04-02,Sales,1,2,2,5,"Way too long. Spent 2 hours on this. Could be 45 mins max"
R004,2025-04-10,Engineering,2,3,3,4,"IT setup section was outdated - referenced old VPN that we don't use anymore"
R005,2025-05-01,Product,1,4,4,3,"Liked the company values section but culture stuff felt generic"
R006,2025-05-22,Finance,1,3,2,4,"Benefits info was from 2022?? Had wrong dental provider listed"
R007,2025-06-05,Engineering,1,2,2,4,"Security training link was broken. Had to google it myself"
R008,2025-06-15,Sales,2,3,3,3,"Org chart still showed the old CEO. Awkward."
R009,2025-07-01,Marketing,1,4,3,4,"First week schedule template was helpful but needs updating"
R010,2025-07-20,Engineering,1,3,2,5,"'Rapid growth' messaging felt tone-deaf given the layoffs"
R011,2025-08-05,Product,1,2,1,4,"Completely outdated. Asked my manager instead of using the deck"
R012,2025-08-18,Sales,1,3,3,4,"DEI section was good but ERG list was incomplete"
R013,2025-09-02,Engineering,2,4,3,3,"IT checklist was actually useful. More of that please"
R014,2025-09-15,Finance,1,2,2,4,"Still talking about 'explosive growth' - read the room"
R015,2025-10-01,Marketing,1,3,3,4,"Values section needs refresh - some of these feel outdated"
R016,2025-10-20,Engineering,1,3,2,3,"Good structure but content is stale across the board"
R017,2025-11-05,Product,1,4,4,4,"CEO video transcript was inspiring but referenced old 5-year plan"
R018,2025-11-18,Sales,2,3,3,4,"Would love more info on WFH policy and equipment stipend"
R019,2025-12-01,Engineering,1,2,2,5,"Deck says 'over 2000 employees' - we're at like 1400 now"
R020,2025-12-15,Finance,1,3,3,3,"Needs a complete refresh. Most info is 2+ years old"
